state,area_nr,area_name,total_n,germans_n,foreigner_n,pop_move_n,pop_migr_background_n,income,unemp_n,votes_total,afd_votes,afd_prop,east,state_id,total_n_z,germans_n_z,foreigner_n_z,pop_move_n_z,pop_migr_background_n_z,income_z,unemp_n_z,votes_total_z,afd_votes_z,afd_prop_z
Niedersachsen,33,Diepholz – Nienburg I,244700,229300,15399,4086490,32789,21380,11011,147273,12433000,0.08442144860225567,0,9,-0.7957300883072029,-0.5893543352427406,-0.7241673382852356,0.19468603736991133,-0.6749306561462411,0.145294876343521,-0.8378185881795699,-0.4130398761158806,-0.8621206935623222,-0.790252843317923
Niedersachsen,34,Osterholz – Verden,248200,233700,14500,4144939,35492,22019,10920,151790,14671000,0.09665327096646682,0,9,-0.7033070234145634,-0.4331367227912315,-0.7722677673061763,0.2358992133352685,-0.5854613909987372,0.41838795333311624,-0.851125524620655,-0.1873955651075141,-0.5949919683030295,-0.5663088942667799
Niedersachsen,35,Rotenburg I – Heidekreis,214900,199600,15300,5608890,27507,19984,12249,126097,11669000,0.09253987010000238,0,9,-1.582646469393105,-1.643823219290427,-0.7294642709582869,1.2681507517304613,-0.8497647880401058,-0.45132161110166663,-0.6567857605525006,-1.470875592279965,-0.9533120903889977,-0.6416182967938865
Niedersachsen,36,Harburg,248100,232300,15799,3299730,29027,24050,10420,160858,16048000,0.09976501013316093,0,9,-0.705947682411496,-0.4828423267530753,-0.7027655901112909,-0.3600690195601374,-0.7994528076389937,1.2863880149385434,-0.9242405600112323,0.2655915086635436,-0.4306326051743225,-0.5093382208333996
Niedersachsen,37,Lüchow-Dannenberg – Lüneburg,230800,216500,14300,4731400,27926,19347,14540,140138,12495000,0.08916211163281908,0,9,-1.1627816888808284,-1.0438055714653125,-0.7829686413931486,0.6494207515963053,-0.835895893442694,-0.7235599366765839,-0.3217726683928754,-0.7694649722072454,-0.8547203446051836,-0.7034593330318868
Niedersachsen,38,Osnabrück-Land,265600,241800,23800,7171200,51526,21041,9561,150192,10939000,0.0728334398636412,0,9,-0.24383235794829838,-0.1455542998691352,-0.27467712226196217,2.369756543830192,-0.054736197741216165,4.145115556136982e-4,-1.049852190812244,-0.26722279756077283,-1.040445231335952,-1.002409655385218
Niedersachsen,39,Stadt Osnabrück,254900,232400,22500,5735250,57607,20468,15803,151006,9489000,0.06283856270611764,0,9,-0.526382870620082,-0.47929192647008645,-0.34423280382728244,1.3572488871131458,0.14654482385033835,-0.24447176874961019,-0.13708408899627716,-0.22655986438370612,-1.2135179085593544,-1.1853989266720433
Niedersachsen,40,Nienburg II – Schaumburg,246100,230300,15799,2756319,37653,20359,14519,145646,14943000,0.10259808027683562,0,9,-0.7587608623501471,-0.5538503324128522,-0.7027655901112909,-0.7432354238529519,-0.5139323188626823,-0.2910557208495568,-0.32484349987927963,-0.49431578800665155,-0.5625259212652601,-0.4574695051978847
Niedersachsen,41,Stadt Hannover I,257300,217000,40300,3910960,62009,20136,18525,133867,12227000,0.09133692396184273,0,9,-0.4630070546937006,-1.0260535700503683,0.6081449899132564,0.0709174737127205,0.29225096709092757,-0.38636050358614477,0.2609541636700256,-1.082729411953419,-0.8867089497747505,-0.663642203016029
Niedersachsen,42,Stadt Hannover II,274900,230900,43999,4178479,66250,20136,19792,148090,11245000,0.07593355391991356,0,9,0.0017489287664294746,-0.5325479307149191,0.8060576561518099,0.2595487184059811,0.4326280124074516,-0.38636050358614477,0.4462276633497485,-0.3722270795487264,-1.0039209284184616,-0.9456518180328797
Niedersachsen,43,Hannover-Land I,303000,276100,26899,5090400,73023,20136,21816,180357,18364000,0.10182027866952766,0,9,0.7437741069044781,1.072232997196038,-0.10886707828432567,0.9025564796936763,0.6568142250763546,-0.38636050358614477,0.7421973266108054,1.2396535897687324,-0.15419376348508113,-0.47170973517608594
Niedersachsen,44,Celle – Uelzen,271100,255300,15800,3768290,36327,19546,18977,160978,17549000,0.10901489644547702,0,9,-0.09859611311700771,0.3337497383343586,-0.7027120857408561,-0.0296810620189004,-0.5578229017652315,-0.638512170916131,0.3270501556631075,0.27158604426704236,-0.25147254413133835,-0.3399884700460588
Niedersachsen,45,Gifhorn – Peine,280100,263700,16400,3053090,48457,20407,14565,167610,18288000,0.10911043493824951,0,9,0.13906319660692246,0.6319833621054214,-0.670609463479939,-0.5339782005571724,-0.15632005816951428,-0.2705416868972867,-0.3181169166233465,0.6028840452870748,-0.16326515898092844,-0.3382393220678747
Niedersachsen,46,Hameln-Pyrmont – Holzminden,237500,220200,17300,2517500,37525,20459,16387,138650,14052000,0.10134871979805266,0,9,-0.9858575360863471,-0.9124407609947254,-0.6224555300885635,-0.9116299125673977,-0.5181691172122497,-0.24831815011566083,-0.051685727660082885,-0.8437972136906303,-0.6688760974073646,-0.48034317937955906
Niedersachsen,47,Hannover-Land II,309300,283500,25800,4794150,74541,20136,22269,187010,19387000,0.10366825303459708,0,9,0.9101356237112292,1.3349626181372123,-0.16766838139223872,0.6936666205046897,0.7070600055032547,-0.38636050358614477,0.8084395486746684,1.5720006345193773,-0.032088005692294475,-0.43787645467736164
Niedersachsen,48,Hildesheim,277100,258100,19000,3879400,42396,19957,18565,168295,15695000,0.09325886092872634,0,9,0.05984342669894574,0.4331609462580462,-0.5314981003492985,0.048664093270511515,-0.3569390800189489,-0.46286075519981856,0.2668033665012718,0.6371028526903804,-0.4727668500431922,-0.6284547925570112
Niedersachsen,49,Salzgitter – Wolfenbüttel,265200,243900,21299,4296240,48266,19830,21481,155710,19117000,0.12277310384689487,0,9,-0.2543949939360286,-0.07099589392636951,-0.40849155271955134,0.3425835832429574,-0.1626421557067593,-0.5171374700318664,0.6932102528991185,0.008425931273445987,-0.06431533179596251,-0.08809899637670483
Niedersachsen,50,Braunschweig,251400,227000,24400,3192779,53799,19803,15335,146548,12266000,0.08369953871768977,0,9,-0.6188059355127216,-0.671013541751484,-0.24257450000104513,-0.435481608016243,0.020500072950710067,-0.5286766141300183,-0.20551976212185752,-0.4492568620536857,-0.8820538915597762,-0.8034697905229251
Niedersachsen,51,Helmstedt – Wolfsburg,241900,218900,23000,3362410,52734,21065,14030,136010,14862000,0.10927137710462466,0,9,-0.8696685402213145,-0.9585959646735803,-0.31748061860985155,-0.31587250859316474,-0.01475141331717442,0.01067152853174873,-0.39635000449126423,-0.9756769969676033,-0.5721941190963605,-0.335292743607714
Niedersachsen,52,Goslar – Northeim – Osterode,255200,238200,17000,3904560,31644,20180,17098,149522,15113000,0.10107542702746085,0,9,-0.5184608936292844,-0.2733687100567336,-0.6385068412190219,0.06640474764078964,-0.7128301413826053,-0.3675559724632306,0.05228385266531803,-0.300692288013641,-0.5422346418666544,-0.4853467071018491
Niedersachsen,53,Göttingen,286800,264200,22600,6539040,45314,19554,17208,169317,13443000,0.07939545349846737,0,9,0.3159873494014038,0.6497353635203656,-0.33888236678379624,1.9240120260752231,-0.260353317643656,-0.6350931652574193,0.06836916045124504,0.6881563142468449,-0.7415666218411937,-0.88227030056511635
Bremen,54,Bremen I,352600,302900,49700,3949120,93439,20582,34554,185913,15716000,0.08453416382931801,0,5,2.0535409693830267,2.0237402730370477,1.1110860720009568,0.09782460291660816,1.332583561832345,-0.1957509381129688,2.6048759682211524,1.517200588210726,-0.4702602802351291,-0.7881892184290927
Bremen,55,Bremen II – Bremerhaven,318800,266500,52300,6503519,84163,19465,35386,145826,17604000,0.12071921330901211,0,5,1.1609982284198221,0.731394570029109,1.2501974351315972,1.898965691262558,1.025548081437137,-0.6731296032105867,2.7265393871110732,-0.48532398460140336,-0.2449077184435541,-0.1257022532158507
Brandenburg,56,Prignitz – Ostprignitz-Ruppin – Havelland I,209500,203800,5699,2011199,6704,17936,18645,118408,22185000,0.1873606513073441,1,4,-1.7252420552274632,-1.4947064074048957,-1.2431597315033944,-1.2686295567775006,-1.5383438198061161,-1.326587059731856,0.27850177216376415,-1.8549754610741491,0.3018825811153468,1.0943895983024527
Brandenburg,57,Uckermark – Barnim I,219900,212800,7099,2726760,9015,18121,22649,128039,26608000,0.20781168237802544,1,4,-1.450613519546477,-1.1751703819358996,-1.168253612894588,-0.7640778722842337,-1.461849749604162,-1.2475225538741486,0.8640069755715072,-1.3738640244300098,0.8298139268802495,1.468813336954528
Brandenburg,58,Oberhavel – Havelland II,295800,287100,8699,5590620,15085,18806,19818,182563,33982000,0.18613848370151673,1,4,0.553646659125334,1.4627770283248107,-1.0826466201988092,1.2552683290219961,-1.2609328278707734,-0.9547701943469611,0.4500296451900585,1.349853135946385,1.7099780109115386,1.0720137795649136
Brandenburg,59,Märkisch-Oderland – Barnim II,269300,262100,7199,4712750,11041,18742,18851,167678,34702000,0.20695618984005057,1,4,-0.14612797506179376,0.5751769575775999,-1.1629031758511017,0.6362703857773193,-1.3947891757274165,-0.9821222396166546,0.30862516674468204,0.6062809487957241,1.7959175471879867,1.453150717629837
Brandenburg,60,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,220300,213200,7100,3326530,10133,18930,15421,126138,22631000,0.17941460939605827,1,4,-1.4400508835587469,-1.1609687808039444,-1.1682001085241531,-0.341171979133927,-1.42484396401966,-0.9017756066369301,-0.19294397603467822,-1.468827459282103,0.3551173494199244,0.9489110300274788
Brandenburg,61,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,310500,294100,16399,6489450,19561,19217,18630,193865,26133000,0.13479998968354268,1,4,0.9418235316744199,1.7113050481340297,-0.6706629678503738,1.8890454501522465,-1.1127772855843407,-0.7791187786306487,0.27630832110204684,1.914438480869245,0.7731177050312038,0.13209291197920675
Brandenburg,62,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,300900,290200,10699,5205570,14443,19225,17452,184910,38900000,0.2103726137039641,1,4,0.6883202679688945,1.5728394370974648,-0.9756378793290857,0.9837643955849692,-1.282183019592822,-0.775699772971937,0.10404929772184675,1.4670962614581486,2.2969927878664995,1.51569965178996
Brandenburg,63,Frankfurt (Oder) – Oder-Spree,240500,226100,14400,5916300,11543,18268,19721,137987,30475000,0.22085413843333068,1,4,-0.9066377661783703,-0.7029671442983836,-0.7776182043496624,1.484909677007377,-1.3781729822002071,-1.1846983248953213,0.4358453283242865,-0.876917022899961,1.2913808529650062,1.707598615826538
Brandenburg,64,Cottbus – Spree-Neiße,217300,209100,8200,1216879,10647,18308,19122,130027,34902000,0.2684211740638483,1,4,-1.5192706534667237,-1.306535192406487,-1.1093453010458052,-1.8287152713800177,-1.4078305706471785,-1.167603296601763,0.34825351592637493,-1.27455455126538,1.819789640598111,2.5784704684886606
Brandenburg,65,Elbe-Elster – Oberspreewald-Lausitz II,200900,196800,4099,462070,5424,17818,19286,121144,30564000,0.2522947896717955,1,4,-1.9523387289636631,-1.7432344272141147,-1.3287667241991732,-2.3609412485094006,-1.5807118033017895,-1.3770173931978533,0.3722352475344843,-1.718300049314377,1.3020039345325114,2.2832236853732057
Sachsen-Anhalt,66,Altmark,201400,194600,6800,1933440,5840,17755,19938,109864,18419000,0.16765273428966723,1,14,-1.9391354339790003,-1.8213432334398691,-1.1842514196546117,-1.3234584734380117,-1.5669422086656957,-1.4039420627602077,0.46757725368379705,-2.281786396043262,-0.1476289377972969,0.7335710192635624
Sachsen-Anhalt,67,Börde – Jerichower Land,265200,257600,7599,2439839,7160,19054,19094,148085,27947000,0.18872269304791167,1,14,-0.2543949939360286,0.415408944843102,-1.1415014276771571,-0.9663897281099323,-1.5232502256857825,-0.8487810189268992,0.34415907394450257,-0.37247685186553886,0.9896375922610328,1.1193262755262527
Sachsen-Anhalt,68,Harz,257399,248500,8899,3963959,7207,17779,19562,141530,23859000,0.16857909983749028,1,14,-0.4603928022867374,0.09232251909111727,-1.071945746111837,0.10828778138244907,-1.5216945262918007,-1.3936850457840726,0.4125947470700829,-0.6999283592066596,0.5016920029580887,0.7505312033528445
Sachsen-Anhalt,69,Magdeburg,292400,276200,16199,4532200,18713,16976,29240,160769,26053000,0.16205238572112782,1,14,0.46386425322962704,1.0757833974790267,-0.6813638419373462,0.5089621526074578,-1.1408460746502243,-1.7368677387772573,1.827809372090097,0.26114556142428197,0.763568867667154,0.6310381229249785
Sachsen-Anhalt,70,Dessau – Wittenberg,211400,204400,7000,1331820,6764,18156,19237,121666,24310000,0.1998093140236385,1,14,-1.6750695342857445,-1.4734040057069626,-1.1735505455676394,-1.7476688264684859,-1.5363578205797563,-1.232564404117285,0.36506997406620767,-1.6922238194391572,0.5555235735979194,1.3223035269129164
Sachsen-Anhalt,71,Anhalt,268800,260700,8100,1962240,8870,17535,24729,145518,32346000,0.222281779573661,1,14,-0.15933127004645653,0.5254713536157561,-1.1146957380892915,-1.303151206114323,-1.4666492477345314,-1.4979647183747788,1.1681655227963086,-0.5007099593170502,1.5147042868167204,1.7337363069467824
Sachsen-Anhalt,72,Halle,270400,253300,17099,5191679,17305,16697,26499,150299,26735000,0.17787876166840763,1,14,-0.11708072609553562,0.26274173267458173,-0.6332099085459706,0.9739696646685331,-1.187450856495465,-1.856105561124827,1.4269927480789524,-0.2618776699809864,0.8449727061956785,0.9207922595752813
Sachsen-Anhalt,73,Burgenland – Saalekreis,231800,222700,9100,1668960,6954,17949,20398,129199,31780000,0.24597713604594462,1,14,-1.136375098911503,-0.8236807539200043,-1.0611913676544296,-1.5099468783605539,-1.5300688230296173,-1.3210311755364494,0.5348430862431282,-1.3159168469295215,1.4471462624660683,2.167558148416925
Sachsen-Anhalt,74,Mansfeld,246700,239700,7000,1430860,6414,17920,25163,137927,32982000,0.23912649444996267,1,14,-0.7429169083685517,-0.22011270581190093,-1.1735505455676394,-1.677834390505356,-1.5479428160668547,-1.3334250710492794,1.2316293735153299,-0.8799142907017105,1.5906175438609162,2.042134504510275
Berlin,75,Berlin-Mitte,354300,250000,104300,4145309,85386,18594,33304,149420,12319000,0.08244545576228082,1,3,2.09843217233088,0.14557852333594992,4.032424697744408,0.23616010531130202,1.0660293656677686,-1.0453738443028207,2.4220883797447095,-0.30578764327661495,-0.8757277868060932,-0.826429925252622
Berlin,76,Berlin-Pankow,314000,283000,31000,3673799,75674,18594,29516,186409,23291000,0.12494568395302802,1,3,1.0342465965670595,1.3172106167222681,0.1105543448690423,-0.09630793690371564,0.7445622908943468,-1.0453738443028207,1.8681688716256957,1.5419780020385208,0.43389525767333514,-0.04832273458100086
Berlin,77,Berlin-Reinickendorf,252100,216700,35400,2949569,60756,18594,23697,134913,18484000,0.1370068117972323,1,3,-0.6003213225341937,-1.0367047708993349,0.3459735747824339,-0.6069722498841026,0.25077668324711605,-1.0453738443028207,1.0172560897501572,-1.0304770432762547,-0.13987050743900645,0.17249608693366203
Berlin,78,Berlin-Spandau – Charlottenburg Nord,262400,222200,40199,3070079,63238,18594,24665,130658,18469000,0.14135376325980806,1,3,-0.32833344585014024,-0.8414327553349484,0.6027410484993354,-0.5219990281765422,0.3329308512441952,-1.0453738443028207,1.1588067982663148,-1.243033284883649,-0.14166091444476578,0.2520814052841907
Berlin,79,Berlin-Steglitz-Zehlendorf,286500,258700,27800,3352049,69046,18594,26930,178717,15879000,0.08884996950485964,1,3,0.30806537241060616,0.45446334795597926,-0.06065964052251525,-0.3231781890355515,0.5251755763558131,-1.0453738443028207,1.49001790858563,1.1577282698542493,-0.4508045241058777,-0.7091741266839748
Berlin,80,Berlin-Charlottenburg-Wilmersdorf,277700,227200,50500,3249089,66925,18594,26103,156816,12418000,0.07918834812774207,1,3,0.07568738068054108,-0.6639127411855064,1.1538895683488462,-0.395776669717739,0.4549705037039981,-1.0453738443028207,1.369085640049615,0.06367556775235972,-0.8639111005680816,-0.8860620491050253
Berlin,81,Berlin-Tempelhof-Schöneberg,333700,279200,54500,3904289,80421,18594,31367,179097,17122000,0.09560182470951495,1,3,1.5544564189627732,1.182295405968692,1.367907050088293,0.06621366189618133,0.9016879296865042,-1.0453738443028207,2.138840732641613,1.1767109659319954,-0.30243946356195406,-0.5855590942766973
Berlin,82,Berlin-Neukölln,318700,246200,72500,3728789,76806,18594,29957,140810,15666000,0.11125630281940203,1,3,1.1583575694228896,0.010663312582373878,2.3309857179158042,-0.05753374835754733,0.7820314762983329,-1.0453738443028207,1.932656332840185,-0.7358955728276523,-0.4762283035876602,-0.2989521158660132
