state,area_nr,area_name,total_n,germans_n,foreigner_n,for_prop,pop_move_n,pop_migr_background_n,income,unemp_n,unemp_prop,votes_total,afd_votes,afd_prop,east,east_num,state_id,total_n_c,germans_n_c,foreigner_n_c,for_prop_c,pop_move_n_c,pop_migr_background_n_c,income_c,unemp_n_c,unemp_prop_c,votes_total_c,afd_votes_c,afd_prop_c
Mecklenburg-Vorpommern,17,Mecklenburgische Seenplatte II – Landkreis Rostock III,255600,249600,6000,2,2172600,6645,17802,26071,10,142477,27389,0.1922345361005636,yes,1,8,-19233.76923076925,3700.34113712376,-22933.732441471573,-7.645484949832776,-1637784.0234113713,-46534.66220735786,-3238.0301003344466,9330.545150501672,4.321070234113712,-13064.327759197331,7733.167224080269,0.06464946355029003
Hamburg,18,Hamburg-Mitte,350100,278400,71700,20,3921120,99078,23596,24857,7,174340,13950,0.08001606057129747,no,0,6,75266.23076923075,32500.34113712376,42766.26755852843,10.354515050167224,110735.97658862872,45898.33779264214,2555.9698996655534,8116.545150501672,1.3210702341137122,18798.67224080267,-5705.832775919731,-0.0475690119789761
Hamburg,19,Hamburg-Altona,260300,222800,37500,14,2915360,73664,23596,18481,7,145076,8034,0.055377870909040776,no,0,6,-14533.769230769249,-23099.65886287624,8566.267558528427,4.354515050167224,-895024.0234113713,20484.337792642138,2555.9698996655534,1740.5451505016717,1.3210702341137122,-10465.327759197331,-11621.832775919731,-0.07220720164123279
Hamburg,20,Hamburg-Eimsbüttel,252900,223200,29700,11,2832480,71570,23596,17955,7,155141,9120,0.058785234077387664,no,0,6,-21933.76923076925,-22699.65886287624,766.2675585284269,1.3545150501672243,-977904.0234113713,18390.337792642138,2555.9698996655534,1214.5451505016717,1.3210702341137122,-400.32775919733103,-10535.832775919731,-0.0687998384728859
Hamburg,21,Hamburg-Nord,279800,252900,26900,9,3133759,79183,23596,19865,7,177403,10919,0.06154912825600469,no,0,6,4966.230769230751,7000.34113712376,-2033.732441471573,-0.6454849498327757,-676625.0234113713,26003.337792642138,2555.9698996655534,3124.5451505016717,1.3210702341137122,21861.67224080267,-8736.832775919731,-0.06603594429426887
Hamburg,22,Hamburg-Wandsbek,314700,277200,37500,11,3524640,89060,23596,22343,7,171156,16740,0.09780551076211176,no,0,6,39866.23076923075,31300.34113712376,8566.267558528427,1.3545150501672243,-285744.0234113713,35880.33779264214,2555.9698996655534,5602.545150501672,1.3210702341137122,15614.672240802669,-2915.832775919731,-0.02977956178816181
Hamburg,23,Hamburg-Bergedorf – Harburg,329500,270600,58899,17,3690399,93248,23596,23394,7,154154,17614,0.11426236101560777,no,0,6,54666.23076923075,24700.34113712376,29965.267558528427,7.354515050167224,-119985.02341137128,40068.33779264214,2555.9698996655534,6653.545150501672,1.3210702341137122,-1387.327759197331,-2041.832775919731,-0.013322711534665799
Niedersachsen,24,Aurich – Emden,239900,227300,12599,5,2902790,21111,18428,18712,7,141037,12875,0.09128810170380822,no,0,9,-34933.76923076925,-18599.65886287624,-16334.732441471573,-4.645484949832776,-907594.0234113713,-32068.662207357862,-2612.0301003344466,1971.5451505016717,1.3210702341137122,-14504.327759197331,-6780.832775919731,-0.036296970846465354
Niedersachsen,25,Unterems,314500,285800,28699,9,4340100,42143,18302,15725,5,174953,14620,0.08356530039496322,no,0,9,39666.23076923075,39900.34113712376,-234.7324414715731,-0.6454849498327757,529715.9765886287,-11036.662207357862,-2738.0301003344466,-1015.4548494983283,-0.6789297658862878,19411.67224080267,-5035.832775919731,-0.04401977215531035
Niedersachsen,26,Friesland – Wilhelmshaven – Wittmund,231100,220400,10699,4,3258509,22878,18657,18950,8,137585,12492,0.09079478140785696,no,0,9,-43733.76923076925,-25499.65886287624,-18234.732441471573,-5.645484949832776,-551875.0234113713,-30301.662207357862,-2383.0301003344466,2209.5451505016717,2.321070234113712,-17956.32775919733,-7163.832775919731,-0.03679029114241661
