state,area_nr,area_name,total_n,germans_n,foreigner_n,pop_move_n,pop_migr_background_n,income,unemp_n,votes_total,afd_votes,afd_prop,east,state_id
Niedersachsen,38,Osnabrück-Land,265600,241800,23800,7171200,51526,21041,9561,150192,10939,0.0728334398636412,0,9
Niedersachsen,39,Stadt Osnabrück,254900,232400,22500,5735250,57607,20468,15803,151006,9489,0.06283856270611764,0,9
Niedersachsen,40,Nienburg II – Schaumburg,246100,230300,15799,2756319,37653,20359,14519,145646,14943,0.10259808027683562,0,9
Niedersachsen,41,Stadt Hannover I,257300,217000,40300,3910960,62009,20136,18525,133867,12227,0.09133692396184273,0,9
Niedersachsen,42,Stadt Hannover II,274900,230900,43999,4178479,66250,20136,19792,148090,11245,0.07593355391991356,0,9
Niedersachsen,43,Hannover-Land I,303000,276100,26899,5090400,73023,20136,21816,180357,18364,0.10182027866952766,0,9
Niedersachsen,44,Celle – Uelzen,271100,255300,15800,3768290,36327,19546,18977,160978,17549,0.10901489644547702,0,9
Niedersachsen,45,Gifhorn – Peine,280100,263700,16400,3053090,48457,20407,14565,167610,18288,0.10911043493824951,0,9
Niedersachsen,46,Hameln-Pyrmont – Holzminden,237500,220200,17300,2517500,37525,20459,16387,138650,14052,0.10134871979805266,0,9
Niedersachsen,47,Hannover-Land II,309300,283500,25800,4794150,74541,20136,22269,187010,19387,0.10366825303459708,0,9
Niedersachsen,48,Hildesheim,277100,258100,19000,3879400,42396,19957,18565,168295,15695,0.09325886092872634,0,9
Niedersachsen,49,Salzgitter – Wolfenbüttel,265200,243900,21299,4296240,48266,19830,21481,155710,19117,0.12277310384689487,0,9
Niedersachsen,50,Braunschweig,251400,227000,24400,3192779,53799,19803,15335,146548,12266,0.08369953871768977,0,9
Niedersachsen,51,Helmstedt – Wolfsburg,241900,218900,23000,3362410,52734,21065,14030,136010,14862,0.10927137710462466,0,9
Niedersachsen,52,Goslar – Northeim – Osterode,255200,238200,17000,3904560,31644,20180,17098,149522,15113,0.10107542702746085,0,9
Niedersachsen,53,Göttingen,286800,264200,22600,6539040,45314,19554,17208,169317,13443,0.07939545349846737,0,9
Bremen,54,Bremen I,352600,302900,49700,3949120,93439,20582,34554,185913,15716,0.08453416382931801,0,5
Bremen,55,Bremen II – Bremerhaven,318800,266500,52300,6503519,84163,19465,35386,145826,17604,0.12071921330901211,0,5
Brandenburg,56,Prignitz – Ostprignitz-Ruppin – Havelland I,209500,203800,5699,2011199,6704,17936,18645,118408,22185,0.1873606513073441,1,4
Brandenburg,57,Uckermark – Barnim I,219900,212800,7099,2726760,9015,18121,22649,128039,26608,0.20781168237802544,1,4
