state,area_nr,area_name,total_n,germans_n,foreigner_n,pop_move_n,pop_migr_background_n,income,unemp_n,votes_total,afd_votes,afd_prop,east,state_id
Rheinland-Pfalz,208,Neustadt – Speyer,285500,259700,25800,3054850,51390,24273,13418,174345,22080,0.1266454443775273,0,11
Rheinland-Pfalz,209,Kaiserslautern,296800,272600,24199,3027360,58172,19816,19588,169755,23207,0.13670878619186475,0,11
Rheinland-Pfalz,210,Pirmasens,223800,209900,13900,1656120,30660,20785,14770,132714,18648,0.14051268140512682,0,11
Rheinland-Pfalz,211,Südpfalz,283200,258600,24599,3200160,50692,21679,12743,170401,23190,0.13609075064113474,0,11
Bayern,212,Altötting,220500,199800,20699,3439799,43659,22185,8599,125909,18305,0.14538277644965808,0,2
Bayern,213,Erding – Ebersberg,271200,242100,29099,4122240,39866,24309,5423,162608,19367,0.11910238118665749,0,2
Bayern,214,Freising,326000,285800,40199,5281200,55093,22838,7172,185634,25178,0.13563248111876058,0,2
Bayern,215,Fürstenfeldbruck,323500,282200,41300,5402450,62435,24151,8411,189842,21938,0.11555925453798421,0,2
Bayern,216,Ingolstadt,327300,290700,36600,3338460,80515,21717,8182,182840,27671,0.15133996937212862,0,2
Bayern,217,München-Nord,368100,264300,103800,3717810,126258,25838,16564,173092,14901,0.08608716751785178,0,2
Bayern,218,München-Ost,377400,284700,92699,3811740,129448,25838,16983,186047,15940,0.08567727509715287,0,2
Bayern,219,München-Süd,334800,252500,82300,3381480,114836,25838,15066,169770,14584,0.08590445897390588,0,2
Bayern,220,München-West/Mitte,370000,282600,87399,3737000,126909,25838,16650,192595,14879,0.07725538046159039,0,2
Bayern,221,München-Land,340000,287100,52899,6902000,77180,29954,9180,196362,18457,0.09399476477118791,0,2
Bayern,222,Rosenheim,317900,282800,35099,5404299,53725,23680,9854,185456,25698,0.13856656026227246,0,2
Bayern,223,Bad Tölz-Wolfratshausen – Miesbach,223200,198300,24899,3392640,37943,26258,6472,131817,15407,0.11688173756040571,0,2
Bayern,224,Starnberg – Landsberg am Lech,290700,258500,32199,4186080,45058,29060,8430,176259,17450,0.09900203677542707,0,2
Bayern,225,Traunstein,278100,248400,29700,3893400,53951,22259,10845,159568,19183,0.12021833951669508,0,2
Bayern,226,Weilheim,220300,199200,21100,3679010,29960,24017,7269,133560,16143,0.1208670260557053,0,2
Bayern,227,Deggendorf,208400,197200,11200,1979800,22715,20088,7502,118755,22765,0.1916971916971917,0,2
Bayern,228,Landshut,336100,301200,34900,7058100,57137,22276,10755,191694,28059,0.14637390841653886,0,2
Bayern,229,Passau,225200,208900,16299,3265399,28600,20065,9458,130571,20968,0.16058696035107337,0,2
Bayern,230,Rottal-Inn,220000,201100,18900,2420000,30800,21229,6820,123504,20381,0.165022995206633,0,2
Bayern,231,Straubing,222400,207200,15200,2802240,23796,20576,9118,128207,23580,0.18392131474880466,0,2
Bayern,232,Amberg,275800,258200,17600,3061380,34750,21131,8549,168203,21540,0.1280595470948794,0,2
Bayern,233,Regensburg,334900,302700,32199,5257929,62961,21814,9042,197663,25628,0.1296550188957974,0,2
Bayern,234,Schwandorf,271200,256700,14500,2657760,23594,20358,9492,161282,28007,0.17365236046179983,0,2
Bayern,235,Weiden,210400,200500,9900,1157200,20829,20390,9257,129339,17407,0.13458430945035912,0,2
Bayern,236,Bamberg,234300,218000,16300,3163050,29287,21716,7966,144418,18394,0.12736639477073494,0,2
Bayern,237,Bayreuth,204500,193400,11099,1370150,28016,21698,8793,126522,13564,0.10720665180759077,0,2
Bayern,238,Coburg,198700,188500,10199,1112719,23247,24053,7351,122179,14210,0.11630476595814337,0,2
Bayern,239,Hof,211400,196800,14599,1522080,28327,21143,10358,125791,16606,0.1320126241146028,0,2
Bayern,240,Kulmbach,210500,202700,7800,1136700,18945,21623,7578,133911,18000,0.1344176355937899,0,2
Bayern,241,Ansbach,315800,291800,24000,4673840,45475,21613,10737,184421,21734,0.11784991947771675,0,2
Bayern,242,Erlangen,242500,215900,26599,3346500,49470,24270,7275,147370,13953,0.09468005699938929,0,2
Bayern,243,Fürth,337200,304000,33199,4417320,69125,22885,12813,197343,23032,0.11671049897893515,0,2
Bayern,244,Nürnberg-Nord,285300,224400,60900,4821570,103849,21791,17973,145304,14503,0.09981142982987391,0,2
Bayern,245,Nürnberg-Süd,265100,217700,47400,4374150,91724,22126,15640,130978,18679,0.14261173632213042,0,2
Bayern,246,Roth,292800,272500,20300,3835680,36014,24299,7612,184545,21357,0.11572787125091441,0,2
Bayern,247,Aschaffenburg,242700,218100,24599,2257110,47811,23305,9222,143378,16634,0.11601500927617905,0,2
Bayern,248,Bad Kissingen,267400,256500,10899,1791580,29146,20817,8824,169903,19653,0.11567188336874569,0,2
Bayern,249,Main-Spessart,254600,234700,19900,1527600,38190,21936,6619,155959,16856,0.10807968761020524,0,2
Bayern,250,Schweinfurt,256100,237000,19100,2945150,42256,21354,9219,154940,18904,0.12200851942687492,0,2
Bayern,251,Würzburg,285300,265300,20000,1968570,46503,23105,8559,181902,15769,0.0866895361238469,0,2
Bayern,252,Augsburg-Stadt,314100,256300,57800,5622390,109620,18877,16961,152057,21013,0.13819159920293048,0,2
Bayern,253,Augsburg-Land,324800,299300,25500,4157440,49694,23625,8444,197838,27042,0.13668759287902224,0,2
Bayern,254,Donau-Ries,249800,230400,19400,2822740,34222,23203,5495,146826,21588,0.14703117976380206,0,2
Bayern,255,Neu-Ulm,328000,289700,38300,4231200,66911,23426,8200,180762,27326,0.15117115322910787,0,2
Bayern,256,Oberallgäu,300000,268800,31199,4530000,52500,22864,9300,175341,18528,0.10566838332164183,0,2
Bayern,257,Ostallgäu,329200,297500,31699,5036760,53001,22927,9876,190159,25383,0.13348303262007058,0,2
Baden-Württemberg,258,Stuttgart I,304300,239600,64700,5020950,117459,23759,15215,159974,11455,0.07160538587520472,0,1
Baden-Württemberg,259,Stuttgart II,319500,235400,84100,5271750,123327,23759,15975,137803,14894,0.10808182695587179,0,1
Baden-Württemberg,260,Böblingen,358700,298900,59800,6348990,110479,23483,11119,194896,22854,0.11726254002134472,0,1
Baden-Württemberg,261,Esslingen,245900,204100,41800,3024570,66147,23606,8606,134380,14692,0.10933174579550528,0,1
Baden-Württemberg,262,Nürtingen,293300,250900,42400,4634140,79484,23600,10265,166609,20544,0.1233066641057806,0,1
Baden-Württemberg,263,Göppingen,252700,216400,36299,3082939,67976,22333,9855,135938,19956,0.1468022186585061,0,1
Baden-Württemberg,264,Waiblingen,317400,270500,46899,4094460,78715,23752,10791,176892,22870,0.1292879270967596,0,1
Baden-Württemberg,265,Ludwigsburg,324700,268100,56599,4773089,94163,23470,11364,173985,19780,0.11368796160588557,0,1
Baden-Württemberg,266,Neckar-Zaber,322100,278100,44000,4219510,89543,23329,11273,184220,24124,0.13095212246227336,0,1
Baden-Württemberg,267,Heilbronn,351700,294800,56899,6365770,111840,29506,14771,183282,30088,0.16416232908850842,0,1
Baden-Württemberg,268,Schwäbisch Hall – Hohenlohe,301800,274600,27199,4164840,73035,21905,9355,169459,24801,0.14635398532978477,0,1
Baden-Württemberg,269,Backnang – Schwäbisch Gmünd,241500,213600,27900,3067049,56028,22927,7969,135304,19437,0.14365428959971618,0,1
Baden-Württemberg,270,Aalen – Heidenheim,303800,270500,33300,5468400,70481,22109,12455,168210,20614,0.12254919445930681,0,1
Baden-Württemberg,271,Karlsruhe-Stadt,307800,252300,55500,7695000,93878,21417,14466,160690,16712,0.1040014935590267,0,1
Baden-Württemberg,272,Karlsruhe-Land,281100,250100,31000,3176430,58187,22619,9276,167216,20887,0.12491029566548656,0,1
Baden-Württemberg,273,Rastatt,281600,245800,35800,4336640,68428,23075,9856,155235,19700,0.12690437079266917,0,1
Baden-Württemberg,274,Heidelberg,317100,269300,47800,3488100,81494,22796,13635,177832,16849,0.0947467272481893,0,1
Baden-Württemberg,275,Mannheim,305800,236600,69200,6085420,111311,19846,17430,142721,18308,0.1282782491714604,0,1
Baden-Württemberg,276,Odenwald – Tauber,275100,253300,21800,4098990,49793,21164,9903,161214,22288,0.13825102038284517,0,1
Baden-Württemberg,277,Rhein-Neckar,268900,239000,29899,3925939,56737,23240,11024,154652,20942,0.1354137030235626,0,1
Baden-Württemberg,278,Bruchsal – Schwetzingen,266800,235300,31500,3841920,55761,22879,9604,152694,22794,0.1492789500569767,0,1
Baden-Württemberg,279,Pforzheim,318300,267400,50900,5665740,98991,22911,13686,166072,27105,0.16321234163495352,0,1
Baden-Württemberg,280,Calw,271600,239900,31700,4209800,62468,22863,9234,151600,22714,0.14982849604221635,0,1
Baden-Württemberg,281,Freiburg,313800,268900,44900,5114940,79391,21003,15062,179518,14101,0.07854922626143339,0,1
Baden-Württemberg,282,Lörrach – Müllheim,318700,278300,40399,5704730,70432,23142,10517,175691,18457,0.10505375915670126,0,1
Baden-Württemberg,283,Emmendingen – Lahr,289200,263200,26000,4424760,52345,21513,9254,166443,19139,0.1149883143178145,0,1
Baden-Württemberg,284,Offenburg,272300,246200,26100,3104220,57727,21662,9530,153635,17799,0.1158525075666352,0,1
Baden-Württemberg,285,Rottweil – Tuttlingen,274100,242700,31400,3919630,72362,23526,7948,150048,20927,0.1394687033482619,0,1
Baden-Württemberg,286,Schwarzwald-Baar,230300,200300,30000,4145400,59878,22805,7830,123726,15348,0.12404830027641725,0,1
Baden-Württemberg,287,Konstanz,280300,243100,37200,4765100,66711,22339,10371,157257,16188,0.10293977374616074,0,1
Baden-Württemberg,288,Waldshut,245800,215600,30200,4154019,51618,22429,8357,135128,13299,0.09841779645965307,0,1
Baden-Württemberg,289,Reutlingen,282100,242800,39300,4400760,73346,23126,10437,156066,20174,0.1292658234336755,0,1
Baden-Württemberg,290,Tübingen,270900,238000,32899,3467520,60681,21953,8397,158407,15885,0.10027965935848794,0,1
Baden-Württemberg,291,Ulm,314700,271300,43399,4846380,79619,22957,10385,175842,20430,0.11618384686252431,0,1
Baden-Württemberg,292,Biberach,222800,203600,19200,4077240,42332,21938,5792,130272,16235,0.12462386391549987,0,1
Baden-Württemberg,293,Bodensee,233300,206500,26800,3172880,52259,23541,7232,135934,14163,0.104190268806921,0,1
Baden-Württemberg,294,Ravensburg,250500,226500,24000,3632250,50350,22091,7515,144785,14899,0.10290430638532998,0,1
Baden-Württemberg,295,Zollernalb – Sigmaringen,249100,221000,28099,5455290,55549,22823,8469,137726,18813,0.1365973018892584,0,1
Saarland,296,Saarbrücken,269800,235000,34800,3129680,53960,18923,25361,145431,14043,0.09656125585329126,0,12
Saarland,297,Saarlouis,265500,240800,24699,3902850,42745,18991,14602,157540,15497,0.09836866827472387,0,12
Saarland,298,St. Wendel,216700,205500,11199,2188669,28387,21924,13218,138710,12628,0.09103885804916732,0,12
Saarland,299,Homburg,243700,223000,20699,3216839,37773,20506,16815,143523,16744,0.11666422803313754,0,12
