Jahr,Bundesland,Wert,Indikator
2004,Bayern,109.2,frost_days
2005,Bayern,115.59,frost_days
2006,Bayern,109.16,frost_days
2007,Bayern,87.27,frost_days
2008,Bayern,105.5,frost_days
2009,Bayern,104.08,frost_days
2010,Bayern,123.74,frost_days
2011,Bayern,107.28,frost_days
2012,Bayern,98.97,frost_days
2013,Bayern,112.73,frost_days
2014,Bayern,77.52,frost_days
2015,Bayern,105.48,frost_days
2016,Bayern,101.46,frost_days
2017,Bayern,100.42,frost_days
2018,Bayern,94.7,frost_days
2019,Bayern,93.03,frost_days
2020,Bayern,97.7,frost_days
2021,Bayern,117.86,frost_days
2022,Bayern,95.94,frost_days
2023,Bayern,83.04,frost_days
2024,Bayern,69.33,frost_days
2025,Bayern,106.48,frost_days
1951,Brandenburg,79.79,frost_days
1952,Brandenburg,110.91,frost_days
1953,Brandenburg,91.3,frost_days
1954,Brandenburg,99.32,frost_days
1955,Brandenburg,112.57,frost_days
1956,Brandenburg,102.99,frost_days
1957,Brandenburg,82.75,frost_days
1958,Brandenburg,95.14,frost_days
1959,Brandenburg,88.97,frost_days
1960,Brandenburg,80.15,frost_days
1961,Brandenburg,65.34,frost_days
1962,Brandenburg,96.78,frost_days
1963,Brandenburg,114.39,frost_days
1964,Brandenburg,101.49,frost_days
1965,Brandenburg,103.41,frost_days
1966,Brandenburg,84.8,frost_days
1967,Brandenburg,69.28,frost_days
1968,Brandenburg,92.99,frost_days
1969,Brandenburg,123.97,frost_days
1970,Brandenburg,108.34,frost_days
1971,Brandenburg,81.45,frost_days
1972,Brandenburg,83.79,frost_days
1973,Brandenburg,90.11,frost_days
1974,Brandenburg,51.32,frost_days
1975,Brandenburg,68.19,frost_days
1976,Brandenburg,98.53,frost_days
1977,Brandenburg,68.46,frost_days
1978,Brandenburg,87.09,frost_days
1979,Brandenburg,100.78,frost_days
1980,Brandenburg,112.19,frost_days
1981,Brandenburg,92.79,frost_days
1982,Brandenburg,79.97,frost_days
1983,Brandenburg,74.5,frost_days
1984,Brandenburg,94.61,frost_days
1985,Brandenburg,99.42,frost_days
1986,Brandenburg,81.01,frost_days
1987,Brandenburg,95.2,frost_days
1988,Brandenburg,73.77,frost_days
1989,Brandenburg,63.27,frost_days
1990,Brandenburg,50.22,frost_days
1991,Brandenburg,83.62,frost_days
1992,Brandenburg,71.86,frost_days
1993,Brandenburg,90,frost_days
1994,Brandenburg,60.82,frost_days
1995,Brandenburg,97.17,frost_days
1996,Brandenburg,128.85,frost_days
1997,Brandenburg,99.7,frost_days
1998,Brandenburg,70.18,frost_days
1999,Brandenburg,76.02,frost_days
2000,Brandenburg,53.92,frost_days
2001,Brandenburg,94.8,frost_days
2002,Brandenburg,75.43,frost_days
2003,Brandenburg,108.29,frost_days
2004,Brandenburg,85.55,frost_days
2005,Brandenburg,99.72,frost_days
2006,Brandenburg,87.07,frost_days
2007,Brandenburg,59.73,frost_days
2008,Brandenburg,61.82,frost_days
2009,Brandenburg,85.91,frost_days
2010,Brandenburg,118.36,frost_days
2011,Brandenburg,82.85,frost_days
2012,Brandenburg,81.41,frost_days
2013,Brandenburg,96.56,frost_days
2014,Brandenburg,56.75,frost_days
2015,Brandenburg,69.99,frost_days
2016,Brandenburg,81.67,frost_days
2017,Brandenburg,75.46,frost_days
2018,Brandenburg,76.67,frost_days
2019,Brandenburg,62.58,frost_days
2020,Brandenburg,54,frost_days
2021,Brandenburg,85.55,frost_days
2022,Brandenburg,72.17,frost_days
2023,Brandenburg,65.13,frost_days
2024,Brandenburg,52.39,frost_days
2025,Brandenburg,82.47,frost_days
1951,Brandenburg/Berlin,79.45,frost_days
1952,Brandenburg/Berlin,110.82,frost_days
1953,Brandenburg/Berlin,91.13,frost_days
1954,Brandenburg/Berlin,98.99,frost_days
1955,Brandenburg/Berlin,112.43,frost_days
1956,Brandenburg/Berlin,102.73,frost_days
1957,Brandenburg/Berlin,82.45,frost_days
1958,Brandenburg/Berlin,95,frost_days
1959,Brandenburg/Berlin,88.69,frost_days
1960,Brandenburg/Berlin,79.95,frost_days
1961,Brandenburg/Berlin,65.17,frost_days
1962,Brandenburg/Berlin,96.66,frost_days
1963,Brandenburg/Berlin,114.24,frost_days
1964,Brandenburg/Berlin,101.35,frost_days
1965,Brandenburg/Berlin,103.26,frost_days
1966,Brandenburg/Berlin,84.65,frost_days
1967,Brandenburg/Berlin,69.1,frost_days
1968,Brandenburg/Berlin,92.85,frost_days
1969,Brandenburg/Berlin,123.83,frost_days
1970,Brandenburg/Berlin,108.19,frost_days
1971,Brandenburg/Berlin,81.16,frost_days
1972,Brandenburg/Berlin,83.51,frost_days
1973,Brandenburg/Berlin,89.82,frost_days
1974,Brandenburg/Berlin,51.07,frost_days
1975,Brandenburg/Berlin,67.93,frost_days
1976,Brandenburg/Berlin,98.3,frost_days
1977,Brandenburg/Berlin,68.28,frost_days
1978,Brandenburg/Berlin,86.87,frost_days
1979,Brandenburg/Berlin,100.67,frost_days
1980,Brandenburg/Berlin,111.94,frost_days
1981,Brandenburg/Berlin,92.69,frost_days
1982,Brandenburg/Berlin,79.76,frost_days
1983,Brandenburg/Berlin,74.36,frost_days
1984,Brandenburg/Berlin,94.39,frost_days
1985,Brandenburg/Berlin,99.22,frost_days
1986,Brandenburg/Berlin,80.89,frost_days
1987,Brandenburg/Berlin,95.12,frost_days
1988,Brandenburg/Berlin,73.65,frost_days
1989,Brandenburg/Berlin,63.12,frost_days
1990,Brandenburg/Berlin,49.97,frost_days
1991,Brandenburg/Berlin,83.34,frost_days
1992,Brandenburg/Berlin,71.66,frost_days
1993,Brandenburg/Berlin,89.78,frost_days
1994,Brandenburg/Berlin,60.58,frost_days
1995,Brandenburg/Berlin,96.95,frost_days
1996,Brandenburg/Berlin,128.63,frost_days
1997,Brandenburg/Berlin,99.44,frost_days
1998,Brandenburg/Berlin,70.06,frost_days
1999,Brandenburg/Berlin,75.86,frost_days
2000,Brandenburg/Berlin,53.8,frost_days
2001,Brandenburg/Berlin,94.68,frost_days
2002,Brandenburg/Berlin,75.22,frost_days
2003,Brandenburg/Berlin,108.04,frost_days
2004,Brandenburg/Berlin,85.28,frost_days
2005,Brandenburg/Berlin,99.39,frost_days
2006,Brandenburg/Berlin,86.96,frost_days
2007,Brandenburg/Berlin,59.37,frost_days
2008,Brandenburg/Berlin,61.52,frost_days
2009,Brandenburg/Berlin,85.64,frost_days
2010,Brandenburg/Berlin,118.14,frost_days
2011,Brandenburg/Berlin,82.53,frost_days
2012,Brandenburg/Berlin,81.21,frost_days
2013,Brandenburg/Berlin,96.32,frost_days
2014,Brandenburg/Berlin,56.37,frost_days
2015,Brandenburg/Berlin,69.69,frost_days
2016,Brandenburg/Berlin,81.35,frost_days
