Jahr,Bundesland,Wert,Indikator
1997,Rheinland-Pfalz,5.86,hot_days
1998,Rheinland-Pfalz,9.7,hot_days
1999,Rheinland-Pfalz,6.49,hot_days
2000,Rheinland-Pfalz,3.78,hot_days
2001,Rheinland-Pfalz,10.13,hot_days
2002,Rheinland-Pfalz,5.92,hot_days
2003,Rheinland-Pfalz,22.01,hot_days
2004,Rheinland-Pfalz,6.22,hot_days
2005,Rheinland-Pfalz,11.56,hot_days
2006,Rheinland-Pfalz,15.77,hot_days
2007,Rheinland-Pfalz,4.94,hot_days
2008,Rheinland-Pfalz,5.45,hot_days
2009,Rheinland-Pfalz,5.84,hot_days
2010,Rheinland-Pfalz,11.39,hot_days
2011,Rheinland-Pfalz,5.02,hot_days
2012,Rheinland-Pfalz,7.6,hot_days
2013,Rheinland-Pfalz,10.58,hot_days
2014,Rheinland-Pfalz,5.98,hot_days
2015,Rheinland-Pfalz,19.5,hot_days
2016,Rheinland-Pfalz,10.32,hot_days
2017,Rheinland-Pfalz,10.65,hot_days
2018,Rheinland-Pfalz,19.61,hot_days
2019,Rheinland-Pfalz,18.35,hot_days
2020,Rheinland-Pfalz,15.07,hot_days
2021,Rheinland-Pfalz,3.98,hot_days
2022,Rheinland-Pfalz,22.53,hot_days
2023,Rheinland-Pfalz,11.95,hot_days
2024,Rheinland-Pfalz,11.49,hot_days
2025,Rheinland-Pfalz,13.91,hot_days
1951,Saarland,1.38,hot_days
1952,Saarland,11.69,hot_days
1953,Saarland,5.93,hot_days
1954,Saarland,3.03,hot_days
1955,Saarland,1.96,hot_days
1956,Saarland,1.51,hot_days
1957,Saarland,7.98,hot_days
1958,Saarland,1.18,hot_days
1959,Saarland,6.95,hot_days
1960,Saarland,1.23,hot_days
1961,Saarland,4.03,hot_days
1962,Saarland,4.18,hot_days
1963,Saarland,2.63,hot_days
1964,Saarland,13.39,hot_days
1965,Saarland,1,hot_days
1966,Saarland,2.89,hot_days
1967,Saarland,4.91,hot_days
1968,Saarland,2.1,hot_days
1969,Saarland,4.21,hot_days
1970,Saarland,0.69,hot_days
1971,Saarland,6.17,hot_days
1972,Saarland,3.2,hot_days
1973,Saarland,9.88,hot_days
1974,Saarland,2.02,hot_days
1975,Saarland,7.86,hot_days
1976,Saarland,19.34,hot_days
1977,Saarland,1.32,hot_days
1978,Saarland,0.91,hot_days
1979,Saarland,1.14,hot_days
1980,Saarland,0.86,hot_days
1981,Saarland,1.61,hot_days
1982,Saarland,5.66,hot_days
1983,Saarland,13.77,hot_days
1984,Saarland,5.27,hot_days
1985,Saarland,2.72,hot_days
1986,Saarland,3.4,hot_days
1987,Saarland,2.07,hot_days
1988,Saarland,1.15,hot_days
1989,Saarland,6.03,hot_days
1990,Saarland,9.74,hot_days
1991,Saarland,8.68,hot_days
1992,Saarland,8.72,hot_days
1993,Saarland,1.61,hot_days
1994,Saarland,17.47,hot_days
1995,Saarland,11.64,hot_days
1996,Saarland,2.71,hot_days
1997,Saarland,6.56,hot_days
1998,Saarland,9.56,hot_days
1999,Saarland,4.3,hot_days
2000,Saarland,2.44,hot_days
2001,Saarland,8.62,hot_days
2002,Saarland,6.15,hot_days
2003,Saarland,22.7,hot_days
2004,Saarland,4.45,hot_days
2005,Saarland,14.33,hot_days
2006,Saarland,17.08,hot_days
2007,Saarland,3.48,hot_days
2008,Saarland,4.55,hot_days
2009,Saarland,4.47,hot_days
2010,Saarland,10.31,hot_days
2011,Saarland,4.9,hot_days
2012,Saarland,7.26,hot_days
2013,Saarland,11.13,hot_days
2014,Saarland,5.91,hot_days
2015,Saarland,20.9,hot_days
2016,Saarland,11.39,hot_days
2017,Saarland,11.18,hot_days
2018,Saarland,18.52,hot_days
2019,Saarland,20.56,hot_days
2020,Saarland,17.49,hot_days
2021,Saarland,3.88,hot_days
2022,Saarland,29.75,hot_days
2023,Saarland,13.55,hot_days
2024,Saarland,11.58,hot_days
2025,Saarland,15.76,hot_days
1951,Sachsen,4.67,hot_days
1952,Sachsen,8.81,hot_days
1953,Sachsen,6.98,hot_days
1954,Sachsen,4.11,hot_days
1955,Sachsen,1.14,hot_days
1956,Sachsen,0.75,hot_days
1957,Sachsen,8.75,hot_days
1958,Sachsen,2.7,hot_days
1959,Sachsen,5.3,hot_days
1960,Sachsen,2.65,hot_days
1961,Sachsen,5.48,hot_days
1962,Sachsen,2.92,hot_days
1963,Sachsen,7.57,hot_days
1964,Sachsen,12.25,hot_days
1965,Sachsen,1.67,hot_days
1966,Sachsen,4.09,hot_days
1967,Sachsen,6.44,hot_days
1968,Sachsen,4.19,hot_days
1969,Sachsen,8.69,hot_days
1970,Sachsen,4.17,hot_days
1971,Sachsen,12.41,hot_days
1972,Sachsen,8.36,hot_days
1973,Sachsen,5.82,hot_days
1974,Sachsen,4.28,hot_days
1975,Sachsen,6.69,hot_days
1976,Sachsen,8.02,hot_days
1977,Sachsen,1.92,hot_days
1978,Sachsen,3,hot_days
1979,Sachsen,4.06,hot_days
1980,Sachsen,2.09,hot_days
1981,Sachsen,2.84,hot_days
1982,Sachsen,6.27,hot_days
1983,Sachsen,9.72,hot_days
1984,Sachsen,3.94,hot_days
1985,Sachsen,2.8,hot_days
1986,Sachsen,5.33,hot_days
1987,Sachsen,1.78,hot_days
1988,Sachsen,4.57,hot_days
1989,Sachsen,5.95,hot_days
1990,Sachsen,7.35,hot_days
1991,Sachsen,5.8,hot_days
1992,Sachsen,12.24,hot_days
1993,Sachsen,2.18,hot_days
1994,Sachsen,18.56,hot_days
1995,Sachsen,10.01,hot_days
1996,Sachsen,2.44,hot_days
1997,Sachsen,4.76,hot_days
1998,Sachsen,6.75,hot_days
1999,Sachsen,3.15,hot_days
2000,Sachsen,9.05,hot_days
2001,Sachsen,6.3,hot_days
2002,Sachsen,7,hot_days
2003,Sachsen,19.36,hot_days
2004,Sachsen,3.44,hot_days
2005,Sachsen,5.96,hot_days
2006,Sachsen,16.37,hot_days
2007,Sachsen,6.76,hot_days
2008,Sachsen,8.73,hot_days
2009,Sachsen,3.56,hot_days
2010,Sachsen,10.34,hot_days
2011,Sachsen,3.99,hot_days
2012,Sachsen,9.85,hot_days
2013,Sachsen,10.28,hot_days
2014,Sachsen,8.77,hot_days
2015,Sachsen,21.6,hot_days
2016,Sachsen,8.89,hot_days
2017,Sachsen,7.2,hot_days
2018,Sachsen,24.87,hot_days
2019,Sachsen,19.83,hot_days
2020,Sachsen,11.73,hot_days
2021,Sachsen,5.1,hot_days
2022,Sachsen,16.23,hot_days
2023,Sachsen,12.72,hot_days
2024,Sachsen,19.29,hot_days
2025,Sachsen,11.41,hot_days
1951,Sachsen-Anhalt,4.25,hot_days
1952,Sachsen-Anhalt,5.57,hot_days
1953,Sachsen-Anhalt,7.3,hot_days
1954,Sachsen-Anhalt,4.57,hot_days
1955,Sachsen-Anhalt,1.27,hot_days
1956,Sachsen-Anhalt,0.99,hot_days
1957,Sachsen-Anhalt,7.93,hot_days
1958,Sachsen-Anhalt,1.71,hot_days
1959,Sachsen-Anhalt,6.56,hot_days
1960,Sachsen-Anhalt,2.28,hot_days
1961,Sachsen-Anhalt,5.78,hot_days
1962,Sachsen-Anhalt,1.56,hot_days
1963,Sachsen-Anhalt,6.53,hot_days
1964,Sachsen-Anhalt,12.22,hot_days
1965,Sachsen-Anhalt,0.78,hot_days
1966,Sachsen-Anhalt,4.47,hot_days
1967,Sachsen-Anhalt,4.17,hot_days
1968,Sachsen-Anhalt,4.4,hot_days
1969,Sachsen-Anhalt,11.33,hot_days
1970,Sachsen-Anhalt,2.88,hot_days
1971,Sachsen-Anhalt,10.44,hot_days
1972,Sachsen-Anhalt,6.37,hot_days
1973,Sachsen-Anhalt,7.62,hot_days
1974,Sachsen-Anhalt,4.01,hot_days
1975,Sachsen-Anhalt,10.38,hot_days
1976,Sachsen-Anhalt,10.25,hot_days
1977,Sachsen-Anhalt,2.1,hot_days
1978,Sachsen-Anhalt,3.91,hot_days
1979,Sachsen-Anhalt,4.31,hot_days
1980,Sachsen-Anhalt,1.97,hot_days
1981,Sachsen-Anhalt,3.17,hot_days
1982,Sachsen-Anhalt,8.91,hot_days
1983,Sachsen-Anhalt,11.99,hot_days
1984,Sachsen-Anhalt,3.66,hot_days
1985,Sachsen-Anhalt,2.86,hot_days
1986,Sachsen-Anhalt,7.11,hot_days
1987,Sachsen-Anhalt,1.77,hot_days
1988,Sachsen-Anhalt,2.8,hot_days
1989,Sachsen-Anhalt,7.69,hot_days
1990,Sachsen-Anhalt,7.71,hot_days
1991,Sachsen-Anhalt,6.48,hot_days
1992,Sachsen-Anhalt,12.6,hot_days
1993,Sachsen-Anhalt,1.62,hot_days
1994,Sachsen-Anhalt,19.84,hot_days
1995,Sachsen-Anhalt,15.93,hot_days
1996,Sachsen-Anhalt,4.19,hot_days
1997,Sachsen-Anhalt,8.65,hot_days
1998,Sachsen-Anhalt,7.52,hot_days
1999,Sachsen-Anhalt,6.85,hot_days
2000,Sachsen-Anhalt,7.4,hot_days
2001,Sachsen-Anhalt,9.19,hot_days
2002,Sachsen-Anhalt,7.89,hot_days
2003,Sachsen-Anhalt,22.16,hot_days
2004,Sachsen-Anhalt,4.96,hot_days
2005,Sachsen-Anhalt,10.38,hot_days
2006,Sachsen-Anhalt,19.33,hot_days
2007,Sachsen-Anhalt,7.48,hot_days
2008,Sachsen-Anhalt,11.69,hot_days
2009,Sachsen-Anhalt,6.3,hot_days
2010,Sachsen-Anhalt,11.88,hot_days
2011,Sachsen-Anhalt,4.63,hot_days
2012,Sachsen-Anhalt,9.63,hot_days
2013,Sachsen-Anhalt,12.24,hot_days
2014,Sachsen-Anhalt,9.55,hot_days
2015,Sachsen-Anhalt,17.9,hot_days
2016,Sachsen-Anhalt,14.36,hot_days
2017,Sachsen-Anhalt,6.22,hot_days
2018,Sachsen-Anhalt,28.81,hot_days
2019,Sachsen-Anhalt,22.54,hot_days
2020,Sachsen-Anhalt,14.31,hot_days
2021,Sachsen-Anhalt,6.7,hot_days
2022,Sachsen-Anhalt,20.43,hot_days
2023,Sachsen-Anhalt,11.67,hot_days
2024,Sachsen-Anhalt,18.23,hot_days
2025,Sachsen-Anhalt,12.11,hot_days
1951,Schleswig-Holstein,0.38,hot_days
1952,Schleswig-Holstein,0.82,hot_days
1953,Schleswig-Holstein,1.88,hot_days
1954,Schleswig-Holstein,0.69,hot_days
1955,Schleswig-Holstein,0.02,hot_days
1956,Schleswig-Holstein,0.02,hot_days
1957,Schleswig-Holstein,2.07,hot_days
1958,Schleswig-Holstein,0,hot_days
1959,Schleswig-Holstein,2.66,hot_days
1960,Schleswig-Holstein,0.08,hot_days
1961,Schleswig-Holstein,1.4,hot_days
1962,Schleswig-Holstein,0,hot_days
1963,Schleswig-Holstein,2.17,hot_days
1964,Schleswig-Holstein,2.05,hot_days
1965,Schleswig-Holstein,0,hot_days
1966,Schleswig-Holstein,0.94,hot_days
1967,Schleswig-Holstein,0.13,hot_days
1968,Schleswig-Holstein,1.17,hot_days
1969,Schleswig-Holstein,4.04,hot_days
1970,Schleswig-Holstein,0.42,hot_days
1971,Schleswig-Holstein,0.64,hot_days
1972,Schleswig-Holstein,1.28,hot_days
1973,Schleswig-Holstein,2.88,hot_days
1974,Schleswig-Holstein,0.45,hot_days
1975,Schleswig-Holstein,6.29,hot_days
1976,Schleswig-Holstein,4.8,hot_days
1977,Schleswig-Holstein,0.03,hot_days
1978,Schleswig-Holstein,0.99,hot_days
1979,Schleswig-Holstein,0.77,hot_days
1980,Schleswig-Holstein,0.02,hot_days
1981,Schleswig-Holstein,0.47,hot_days
1982,Schleswig-Holstein,5.04,hot_days
1983,Schleswig-Holstein,4.92,hot_days
1984,Schleswig-Holstein,0.31,hot_days
1985,Schleswig-Holstein,0.49,hot_days
1986,Schleswig-Holstein,1.55,hot_days
1987,Schleswig-Holstein,0.15,hot_days
1988,Schleswig-Holstein,0.02,hot_days
1989,Schleswig-Holstein,1.4,hot_days
1990,Schleswig-Holstein,1.84,hot_days
1991,Schleswig-Holstein,1.09,hot_days
1992,Schleswig-Holstein,3.46,hot_days
1993,Schleswig-Holstein,0.01,hot_days
1994,Schleswig-Holstein,11.36,hot_days
1995,Schleswig-Holstein,6.97,hot_days
1996,Schleswig-Holstein,3.05,hot_days
1997,Schleswig-Holstein,5.07,hot_days
1998,Schleswig-Holstein,0.78,hot_days
1999,Schleswig-Holstein,2.28,hot_days
2000,Schleswig-Holstein,3.27,hot_days
2001,Schleswig-Holstein,2.08,hot_days
2002,Schleswig-Holstein,3.68,hot_days
2003,Schleswig-Holstein,5.98,hot_days
2004,Schleswig-Holstein,1.7,hot_days
2005,Schleswig-Holstein,1.97,hot_days
2006,Schleswig-Holstein,6.89,hot_days
2007,Schleswig-Holstein,1.46,hot_days
2008,Schleswig-Holstein,3.68,hot_days
2009,Schleswig-Holstein,1.52,hot_days
2010,Schleswig-Holstein,6.35,hot_days
2011,Schleswig-Holstein,0.37,hot_days
2012,Schleswig-Holstein,1.43,hot_days
2013,Schleswig-Holstein,3,hot_days
2014,Schleswig-Holstein,1.09,hot_days
2015,Schleswig-Holstein,3.5,hot_days
2016,Schleswig-Holstein,2.55,hot_days
2017,Schleswig-Holstein,0.01,hot_days
2018,Schleswig-Holstein,10.61,hot_days
2019,Schleswig-Holstein,7.18,hot_days
2020,Schleswig-Holstein,7.35,hot_days
2021,Schleswig-Holstein,1.47,hot_days
2022,Schleswig-Holstein,6.99,hot_days
2023,Schleswig-Holstein,1.97,hot_days
2024,Schleswig-Holstein,3.47,hot_days
2025,Schleswig-Holstein,3.32,hot_days
1951,Thueringen,3.79,hot_days
1952,Thueringen,8.03,hot_days
1953,Thueringen,4.93,hot_days
1954,Thueringen,3.37,hot_days
1955,Thueringen,1.26,hot_days
1956,Thueringen,0.69,hot_days
1957,Thueringen,7.42,hot_days
1958,Thueringen,1.81,hot_days
1959,Thueringen,4.8,hot_days
1960,Thueringen,1.42,hot_days
1961,Thueringen,4.52,hot_days
1962,Thueringen,1.7,hot_days
1963,Thueringen,3.97,hot_days
1964,Thueringen,10.67,hot_days
1965,Thueringen,1.06,hot_days
1966,Thueringen,2.37,hot_days
1967,Thueringen,3.84,hot_days
1968,Thueringen,1.41,hot_days
1969,Thueringen,5.75,hot_days
1970,Thueringen,1.74,hot_days
1971,Thueringen,7.47,hot_days
1972,Thueringen,4.17,hot_days
1973,Thueringen,4.65,hot_days
1974,Thueringen,3.14,hot_days
1975,Thueringen,5.06,hot_days
1976,Thueringen,8.49,hot_days
1977,Thueringen,1.4,hot_days
1978,Thueringen,1.62,hot_days
1979,Thueringen,2.39,hot_days
1980,Thueringen,1.76,hot_days
1981,Thueringen,1.67,hot_days
1982,Thueringen,5.1,hot_days
1983,Thueringen,7.97,hot_days
1984,Thueringen,3.01,hot_days
1985,Thueringen,2.05,hot_days
1986,Thueringen,3.77,hot_days
1987,Thueringen,1.45,hot_days
1988,Thueringen,2.45,hot_days
1989,Thueringen,4.09,hot_days
1990,Thueringen,5.93,hot_days
1991,Thueringen,4.87,hot_days
1992,Thueringen,8.14,hot_days
1993,Thueringen,1.38,hot_days
1994,Thueringen,15.86,hot_days
1995,Thueringen,8.06,hot_days
1996,Thueringen,2.52,hot_days
1997,Thueringen,3.7,hot_days
1998,Thueringen,6.84,hot_days
1999,Thueringen,3.59,hot_days
2000,Thueringen,5.24,hot_days
2001,Thueringen,7.36,hot_days
2002,Thueringen,5.87,hot_days
2003,Thueringen,19.74,hot_days
2004,Thueringen,3.41,hot_days
2005,Thueringen,7.19,hot_days
2006,Thueringen,13.03,hot_days
2007,Thueringen,4.13,hot_days
2008,Thueringen,8.33,hot_days
2009,Thueringen,2.96,hot_days
2010,Thueringen,9.3,hot_days
2011,Thueringen,3.58,hot_days
2012,Thueringen,7.49,hot_days
2013,Thueringen,10.37,hot_days
2014,Thueringen,5.68,hot_days
2015,Thueringen,17.5,hot_days
2016,Thueringen,9.99,hot_days
2017,Thueringen,5.51,hot_days
2018,Thueringen,20.17,hot_days
2019,Thueringen,16.81,hot_days
2020,Thueringen,9.48,hot_days
2021,Thueringen,3.41,hot_days
2022,Thueringen,15.62,hot_days
2023,Thueringen,9.25,hot_days
2024,Thueringen,13.6,hot_days
2025,Thueringen,11.29,hot_days
1951,Thueringen/Sachsen-Anhalt,4.05,hot_days
1952,Thueringen/Sachsen-Anhalt,6.64,hot_days
1953,Thueringen/Sachsen-Anhalt,6.27,hot_days
1954,Thueringen/Sachsen-Anhalt,4.05,hot_days
1955,Thueringen/Sachsen-Anhalt,1.27,hot_days
1956,Thueringen/Sachsen-Anhalt,0.86,hot_days
1957,Thueringen/Sachsen-Anhalt,7.71,hot_days
1958,Thueringen/Sachsen-Anhalt,1.75,hot_days
1959,Thueringen/Sachsen-Anhalt,5.8,hot_days
1960,Thueringen/Sachsen-Anhalt,1.91,hot_days
1961,Thueringen/Sachsen-Anhalt,5.23,hot_days
1962,Thueringen/Sachsen-Anhalt,1.62,hot_days
1963,Thueringen/Sachsen-Anhalt,5.42,hot_days
1964,Thueringen/Sachsen-Anhalt,11.55,hot_days
1965,Thueringen/Sachsen-Anhalt,0.9,hot_days
1966,Thueringen/Sachsen-Anhalt,3.56,hot_days
1967,Thueringen/Sachsen-Anhalt,4.03,hot_days
1968,Thueringen/Sachsen-Anhalt,3.1,hot_days
1969,Thueringen/Sachsen-Anhalt,8.91,hot_days
1970,Thueringen/Sachsen-Anhalt,2.39,hot_days
1971,Thueringen/Sachsen-Anhalt,9.15,hot_days
1972,Thueringen/Sachsen-Anhalt,5.42,hot_days
1973,Thueringen/Sachsen-Anhalt,6.33,hot_days
1974,Thueringen/Sachsen-Anhalt,3.63,hot_days
1975,Thueringen/Sachsen-Anhalt,8.07,hot_days
1976,Thueringen/Sachsen-Anhalt,9.49,hot_days
1977,Thueringen/Sachsen-Anhalt,1.8,hot_days
1978,Thueringen/Sachsen-Anhalt,2.92,hot_days
1979,Thueringen/Sachsen-Anhalt,3.48,hot_days
1980,Thueringen/Sachsen-Anhalt,1.88,hot_days
1981,Thueringen/Sachsen-Anhalt,2.52,hot_days
1982,Thueringen/Sachsen-Anhalt,7.26,hot_days
1983,Thueringen/Sachsen-Anhalt,10.25,hot_days
1984,Thueringen/Sachsen-Anhalt,3.38,hot_days
1985,Thueringen/Sachsen-Anhalt,2.51,hot_days
1986,Thueringen/Sachsen-Anhalt,5.66,hot_days
1987,Thueringen/Sachsen-Anhalt,1.63,hot_days
1988,Thueringen/Sachsen-Anhalt,2.65,hot_days
1989,Thueringen/Sachsen-Anhalt,6.13,hot_days
1990,Thueringen/Sachsen-Anhalt,6.94,hot_days
1991,Thueringen/Sachsen-Anhalt,5.78,hot_days
1992,Thueringen/Sachsen-Anhalt,10.67,hot_days
1993,Thueringen/Sachsen-Anhalt,1.52,hot_days
1994,Thueringen/Sachsen-Anhalt,18.11,hot_days
1995,Thueringen/Sachsen-Anhalt,12.52,hot_days
1996,Thueringen/Sachsen-Anhalt,3.47,hot_days
1997,Thueringen/Sachsen-Anhalt,6.5,hot_days
1998,Thueringen/Sachsen-Anhalt,7.23,hot_days
1999,Thueringen/Sachsen-Anhalt,5.44,hot_days
2000,Thueringen/Sachsen-Anhalt,6.46,hot_days
2001,Thueringen/Sachsen-Anhalt,8.4,hot_days
2002,Thueringen/Sachsen-Anhalt,7.01,hot_days
2003,Thueringen/Sachsen-Anhalt,21.11,hot_days
2004,Thueringen/Sachsen-Anhalt,4.29,hot_days
2005,Thueringen/Sachsen-Anhalt,9,hot_days
2006,Thueringen/Sachsen-Anhalt,16.6,hot_days
2007,Thueringen/Sachsen-Anhalt,6.03,hot_days
2008,Thueringen/Sachsen-Anhalt,10.23,hot_days
2009,Thueringen/Sachsen-Anhalt,4.85,hot_days
2010,Thueringen/Sachsen-Anhalt,10.76,hot_days
2011,Thueringen/Sachsen-Anhalt,4.17,hot_days
2012,Thueringen/Sachsen-Anhalt,8.7,hot_days
2013,Thueringen/Sachsen-Anhalt,11.43,hot_days
2014,Thueringen/Sachsen-Anhalt,7.87,hot_days
2015,Thueringen/Sachsen-Anhalt,17.73,hot_days
2016,Thueringen/Sachsen-Anhalt,12.46,hot_days
2017,Thueringen/Sachsen-Anhalt,5.91,hot_days
2018,Thueringen/Sachsen-Anhalt,25.06,hot_days
2019,Thueringen/Sachsen-Anhalt,20.05,hot_days
2020,Thueringen/Sachsen-Anhalt,12.21,hot_days
2021,Thueringen/Sachsen-Anhalt,5.27,hot_days
2022,Thueringen/Sachsen-Anhalt,18.34,hot_days
2023,Thueringen/Sachsen-Anhalt,10.62,hot_days
2024,Thueringen/Sachsen-Anhalt,16.22,hot_days
2025,Thueringen/Sachsen-Anhalt,11.75,hot_days
1951,Baden-Wuerttemberg,8.88,ice_days
1952,Baden-Wuerttemberg,33.33,ice_days
1953,Baden-Wuerttemberg,29.6,ice_days
1954,Baden-Wuerttemberg,32.09,ice_days
1955,Baden-Wuerttemberg,28.42,ice_days
1956,Baden-Wuerttemberg,45.18,ice_days
1957,Baden-Wuerttemberg,17.87,ice_days
1958,Baden-Wuerttemberg,21.57,ice_days
1959,Baden-Wuerttemberg,17.04,ice_days
1960,Baden-Wuerttemberg,22.15,ice_days
1961,Baden-Wuerttemberg,20.05,ice_days
1962,Baden-Wuerttemberg,33.35,ice_days
1963,Baden-Wuerttemberg,57.32,ice_days
1964,Baden-Wuerttemberg,33.51,ice_days
1965,Baden-Wuerttemberg,26.33,ice_days
1966,Baden-Wuerttemberg,21.94,ice_days
1967,Baden-Wuerttemberg,23.35,ice_days
1968,Baden-Wuerttemberg,32.31,ice_days
1969,Baden-Wuerttemberg,43.24,ice_days
1970,Baden-Wuerttemberg,33.27,ice_days
1971,Baden-Wuerttemberg,26.35,ice_days
1972,Baden-Wuerttemberg,21.89,ice_days
1973,Baden-Wuerttemberg,26.22,ice_days
1974,Baden-Wuerttemberg,6.9,ice_days
1975,Baden-Wuerttemberg,13.84,ice_days
1976,Baden-Wuerttemberg,27.84,ice_days
1977,Baden-Wuerttemberg,16.84,ice_days
1978,Baden-Wuerttemberg,31.38,ice_days
1979,Baden-Wuerttemberg,24.36,ice_days
1980,Baden-Wuerttemberg,30.65,ice_days
1981,Baden-Wuerttemberg,29.01,ice_days
1982,Baden-Wuerttemberg,19.83,ice_days
1983,Baden-Wuerttemberg,25.75,ice_days
1984,Baden-Wuerttemberg,19.01,ice_days
1985,Baden-Wuerttemberg,45.06,ice_days
1986,Baden-Wuerttemberg,36.51,ice_days
1987,Baden-Wuerttemberg,39.37,ice_days
1988,Baden-Wuerttemberg,11.05,ice_days
1989,Baden-Wuerttemberg,12.54,ice_days
1990,Baden-Wuerttemberg,15.89,ice_days
1991,Baden-Wuerttemberg,28.62,ice_days
1992,Baden-Wuerttemberg,16.66,ice_days
1993,Baden-Wuerttemberg,26.79,ice_days
1994,Baden-Wuerttemberg,10.64,ice_days
1995,Baden-Wuerttemberg,22.35,ice_days
1996,Baden-Wuerttemberg,37.4,ice_days
1997,Baden-Wuerttemberg,20.67,ice_days
1998,Baden-Wuerttemberg,23.77,ice_days
1999,Baden-Wuerttemberg,22.09,ice_days
2000,Baden-Wuerttemberg,10.36,ice_days
2001,Baden-Wuerttemberg,16.45,ice_days
2002,Baden-Wuerttemberg,16.06,ice_days
2003,Baden-Wuerttemberg,23.79,ice_days
2004,Baden-Wuerttemberg,22.48,ice_days
2005,Baden-Wuerttemberg,32.85,ice_days
2006,Baden-Wuerttemberg,25.78,ice_days
2007,Baden-Wuerttemberg,14.77,ice_days
2008,Baden-Wuerttemberg,12.5,ice_days
2009,Baden-Wuerttemberg,27.69,ice_days
2010,Baden-Wuerttemberg,48.91,ice_days
2011,Baden-Wuerttemberg,16.1,ice_days
2012,Baden-Wuerttemberg,25.06,ice_days
2013,Baden-Wuerttemberg,28.43,ice_days
2014,Baden-Wuerttemberg,5.78,ice_days
2015,Baden-Wuerttemberg,10.27,ice_days
2016,Baden-Wuerttemberg,11.32,ice_days
2017,Baden-Wuerttemberg,21.97,ice_days
2018,Baden-Wuerttemberg,16.27,ice_days
2019,Baden-Wuerttemberg,10.48,ice_days
2020,Baden-Wuerttemberg,5.91,ice_days
2021,Baden-Wuerttemberg,15.44,ice_days
2022,Baden-Wuerttemberg,11.5,ice_days
2023,Baden-Wuerttemberg,10.25,ice_days
2024,Baden-Wuerttemberg,11.94,ice_days
2025,Baden-Wuerttemberg,12.06,ice_days
1951,Bayern,14.68,ice_days
1952,Bayern,42.19,ice_days
1953,Bayern,38.04,ice_days
1954,Bayern,39.97,ice_days
1955,Bayern,41.07,ice_days
1956,Bayern,54.41,ice_days
1957,Bayern,24.76,ice_days
1958,Bayern,30.41,ice_days
1959,Bayern,24.13,ice_days
1960,Bayern,29.75,ice_days
1961,Bayern,28.06,ice_days
1962,Bayern,45.17,ice_days
1963,Bayern,67.79,ice_days
1964,Bayern,44.34,ice_days
1965,Bayern,35.82,ice_days
1966,Bayern,28.33,ice_days
1967,Bayern,28.54,ice_days
1968,Bayern,42.14,ice_days
1969,Bayern,50.82,ice_days
1970,Bayern,45.06,ice_days
1971,Bayern,32.07,ice_days
1972,Bayern,30.82,ice_days
1973,Bayern,33.65,ice_days
1974,Bayern,8.91,ice_days
1975,Bayern,17.7,ice_days
1976,Bayern,35.8,ice_days
1977,Bayern,23.75,ice_days
1978,Bayern,38.49,ice_days
1979,Bayern,27.77,ice_days
1980,Bayern,37.91,ice_days
1981,Bayern,42.54,ice_days
1982,Bayern,28.05,ice_days
1983,Bayern,33.64,ice_days
1984,Bayern,25.43,ice_days
1985,Bayern,50.82,ice_days
1986,Bayern,42.47,ice_days
1987,Bayern,46.7,ice_days
1988,Bayern,16.02,ice_days
1989,Bayern,22.54,ice_days
1990,Bayern,23.12,ice_days
1991,Bayern,32.89,ice_days
1992,Bayern,22.45,ice_days
1993,Bayern,35.55,ice_days
1994,Bayern,15.93,ice_days
1995,Bayern,33.12,ice_days
1996,Bayern,52.26,ice_days
1997,Bayern,25.12,ice_days
1998,Bayern,31.02,ice_days
1999,Bayern,27.73,ice_days
2000,Bayern,17.09,ice_days
2001,Bayern,25.26,ice_days
2002,Bayern,23.99,ice_days
2003,Bayern,28.69,ice_days
2004,Bayern,30.02,ice_days
2005,Bayern,39.37,ice_days
2006,Bayern,33.61,ice_days
2007,Bayern,18.27,ice_days
2008,Bayern,14.38,ice_days
2009,Bayern,34.05,ice_days
2010,Bayern,60.79,ice_days
2011,Bayern,21.62,ice_days
2012,Bayern,30.55,ice_days
2013,Bayern,35.22,ice_days
2014,Bayern,8.78,ice_days
2015,Bayern,13.14,ice_days
2016,Bayern,17.45,ice_days
2017,Bayern,26.68,ice_days
2018,Bayern,20.94,ice_days
2019,Bayern,13.96,ice_days
2020,Bayern,9.16,ice_days
2021,Bayern,20.58,ice_days
2022,Bayern,14.41,ice_days
2023,Bayern,14.46,ice_days
2024,Bayern,16.03,ice_days
2025,Bayern,17.01,ice_days
1951,Brandenburg,13.17,ice_days
1952,Brandenburg,19.92,ice_days
1953,Brandenburg,17.48,ice_days
1954,Brandenburg,38.95,ice_days
1955,Brandenburg,31.21,ice_days
1956,Brandenburg,43.49,ice_days
1957,Brandenburg,9.84,ice_days
1958,Brandenburg,11.54,ice_days
1959,Brandenburg,19.56,ice_days
1960,Brandenburg,20.92,ice_days
1961,Brandenburg,20.39,ice_days
1962,Brandenburg,29.82,ice_days
1963,Brandenburg,62.91,ice_days
1964,Brandenburg,32.08,ice_days
1965,Brandenburg,25.57,ice_days
1966,Brandenburg,33.04,ice_days
1967,Brandenburg,11.74,ice_days
1968,Brandenburg,28.7,ice_days
1969,Brandenburg,52.78,ice_days
1970,Brandenburg,41.3,ice_days
1971,Brandenburg,18.73,ice_days
