Land;Statistische Kennziffer;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;Tierschutzallianz;B*;DKP;Die Grauen;du.;MG;MENSCHLICHE WELT;Gesundheitsforschung;V-Partei³;Bündnis C;DIE EINHEIT;DIE VIOLETTEN;FAMILIE;DIE FRAUEN;MIETERPARTEI;Neue Liberale;UNABHÄNGIGE;Übrige;Ungültige;Gültige;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;AD-DEMOKRATEN;Tierschutzallianz;B*;BGE;DiB;DKP;DM;Die Grauen;du.;MG;MENSCHLICHE WELT;Die Humanisten;Gesundheitsforschung;V-Partei³
;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
SH;01057;Plön;104905;84179;730;83449;34541;23900;4258;8318;0;5995;5715;0;0;722;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;678;83501;28555;19342;5277;11387;0;10712;6418;0;201;445;0;115;821;0;0;0;30;0;0;0;0;0;0;198;0;0;0;0;0;0;0;0;0;0
SH;01058;Rendsburg-Eckernförde;218493;172146;1393;170753;72763;49004;8677;15631;0;11368;11461;0;0;1622;0;0;194;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;1178;170968;61796;38881;10809;21485;0;21178;12558;0;320;1083;0;260;1922;0;0;0;59;0;0;0;0;0;0;617;0;0;0;0;0;0;0;0;0;0
SH;01059;Schleswig-Flensburg;158366;122220;1111;121109;52980;32536;6828;11953;0;7726;7142;0;0;1495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;449;1026;121194;44938;28246;8303;14888;0;13882;7951;0;241;945;0;197;1143;0;0;0;39;0;0;0;0;0;0;421;0;0;0;0;0;0;0;0;0;0
SH;01060;Segeberg;211659;163157;1333;161824;67365;43388;9093;12713;0;13851;13326;0;0;2070;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1204;161953;57040;36025;10982;17007;0;21924;14571;0;444;1375;0;308;1788;0;0;0;70;0;0;0;0;0;0;419;0;0;0;0;0;0;0;0;0;0
SH;01061;Steinburg;105066;79237;671;78566;33059;20979;4480;5636;0;7735;5758;0;0;817;0;0;0;0;0;0;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;698;78539;28317;18064;5467;8346;0;9693;6466;0;288;609;0;122;891;0;0;0;32;0;0;0;0;0;0;244;0;0;0;0;0;0;0;0;0;0
SH;01062;Stormarn;188426;152508;1141;151367;61048;41145;7858;14313;0;12764;12698;0;0;1497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;933;151575;52385;32937;9875;17741;0;21277;13792;0;287;883;0;312;1642;0;0;0;30;0;0;0;0;0;0;414;0;0;0;0;0;0;0;0;0;0
HH;02000;Hamburg, Freie und Hansestadt;1296656;984926;9254;975672;277677;311889;105242;114485;0;69178;71527;0;1245;5426;0;3369;11426;0;0;0;1123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3085;6808;978118;266312;229862;119076;136371;0;105610;76511;0;1799;3458;8813;2778;15388;0;0;0;688;0;0;0;0;0;0;4573;4199;511;0;0;0;0;0;0;0;2169
NI;03101;Braunschweig, Stadt;192041;147712;1362;146350;45881;55641;11145;11761;0;7877;11377;0;0;0;0;0;0;0;0;0;344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2324;1055;146657;42534;38695;13673;17295;0;14684;12268;905;308;413;1423;223;2698;0;0;0;130;0;0;0;0;0;0;394;390;30;298;0;0;0;0;0;0;296
NI;03102;Salzgitter, Stadt;73810;52929;687;52242;13266;22312;3601;1595;0;2555;8292;516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105;616;52313;13614;17567;4295;2525;0;3471;8599;255;282;190;529;40;524;0;0;0;33;0;0;0;0;0;0;75;64;19;178;0;0;0;0;0;0;53
NI;03103;Wolfsburg, Stadt;89886;66383;702;65681;22185;24905;4228;2881;0;3906;7075;0;0;0;0;0;0;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;420;604;65779;22448;18983;4752;4058;0;5433;7684;330;170;187;536;125;608;0;0;0;51;0;0;0;0;0;0;54;75;25;172;0;0;0;0;0;0;88
NI;03151;Gifhorn;135685;104823;912;103911;40699;35703;5379;5563;0;5030;10765;0;0;0;0;0;0;0;0;0;135;0;0;0;0;0;0;0;0;0;0;0;0;570;0;0;0;0;0;0;0;67;827;103996;37617;28356;6142;7353;0;9034;11877;401;281;371;996;93;830;0;0;0;48;0;0;0;0;0;0;96;110;6;205;0;0;0;0;0;0;180
